,Product_name,Sale_Price,Actual_Price,Rating,No_of_Rating,Offer,Specifications
64,"APPLE iPhone 6s (Silver, 32 GB)","₹25,299","₹29,900",4.5,"93,085 Ratings & 9,280 Reviews",15% off,32 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraApple A9 64-bit processor and M9 Motion Co-processorBrand Warranty of 1 Year
65,"APPLE iPhone 7 Plus (Black, 32 GB)","₹36,999","₹37,900",4.5,"29,800 Ratings & 3,000 Reviews",2% off,32 GB ROM13.94 cm (5.488 inch) Retina HD Display12MP + 12MP | 7MP Front CameraApple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processoriOS 13 CompatibleBrand Warranty of 1 Year
66,"APPLE iPhone XS Max (Space Grey, 256 GB)","₹1,24,900",Same Price,4.6,"1,454 Ratings & 149 Reviews",No offer,256 GB ROM16.51 cm (6.5 inch) Super Retina HD Display12MP + 12MP | 7MP Front CameraA12 Bionic Chip ProcessoriOS 13 Compatible1 Year Limited Warranty for Products and Accessories
67,"APPLE iPhone 6s Plus (Rose Gold, 32 GB)","₹34,900",Same Price,4.4,"18,848 Ratings & 2,392 Reviews",No offer,32 GB ROM13.97 cm (5.5 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraApple A9 64-bit processor and Embedded M9 Motion Co-processorBrand Warranty of 1 Year
68,"APPLE iPhone 13 Pro Max (Sierra Blue, 128 GB)","₹1,29,900",Same Price,4.7,652 Ratings & 69 Reviews,No offer,128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
69,"APPLE iPhone 13 Pro (Silver, 256 GB)","₹1,29,900",Same Price,4.7,448 Ratings & 42 Reviews,No offer,256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
70,"APPLE iPhone 13 Pro (Sierra Blue, 256 GB)","₹1,29,900",Same Price,4.7,448 Ratings & 42 Reviews,No offer,256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
71,"APPLE iPhone 13 (Pink, 256 GB)","₹84,900","₹89,900",4.7,"1,920 Ratings & 204 Reviews",5% off,256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
72,"APPLE iPhone 6s (Silver, 32 GB)","₹25,299","₹29,900",4.5,"93,085 Ratings & 9,280 Reviews",15% off,32 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraApple A9 64-bit processor and M9 Motion Co-processorBrand Warranty of 1 Year
73,"APPLE iPhone 7 Plus (Black, 32 GB)","₹36,999","₹37,900",4.5,"29,800 Ratings & 3,000 Reviews",2% off,32 GB ROM13.94 cm (5.488 inch) Retina HD Display12MP + 12MP | 7MP Front CameraApple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processoriOS 13 CompatibleBrand Warranty of 1 Year
